exam_file,id,stem,option_A,option_B,option_C,option_D,correct_option
ertegha_1403.jsonl,OBGYN-1403-CAT-218,مدیریت نفخ و اتساع شکم پس از جراحی سرطان تخمدان خانم ۴۶ ساله‌ای پس از جراحی طولانی سرطان تخمدان، دو روز بعد دچار نفخ و اتساع شکم شده و تب ندارد. اقدام مناسب کدام است؟ * الف) هر چه زودتر تغذیه وریدی شروع شود,null,بررسی الکترولیت‌ها و عکس‌برداری شکم,آنتی‌بیوتیک با دوز بالا شروع شود,مسکن نارکوتیک و آنتی‌بیوتیک,
ertegha_1403.jsonl,OBGYN-1403-CAT-275,خانمی باردار ۲۸ هفته و سابقه افسردگی پس از زایمان با علائم کاهش اشتها، احساس گناه و ناامیدی، اختلال در تمرکز و بی‌خوابی به شما مراجعه کرده است. علائم حیاتی طبیعی است. داروی خط اول کدام است؟ * الف) هالوپریدول,null,الانزاپین,سیتالوپرام,دوکسپین,
ertegha_1403.jsonl,OBGYN-1403-CAT-276,آقای ۵۵ ساله‌ای است که برای نمونه‌برداری پروستات بستری شده است. وقتی همسر بیمار به صورت موقت بخش را ترک می‌کند، بیمار پرستار خود را صدا زده و به ایشان می‌گوید که سه سال است که به هپاتیت C مبتلا شده ولی همسرش چیزی در این رابطه نمی‌داند و از پرستار می‌خواهد که اگر این بیماری بر روند نمونه‌برداری تأثیر دارد به متخصص اورولوژی اطلاع دهد و همچنین مراقبت کند که این راز از همراهانش مخفی بماند. کدام گزینه در رابطه با این مورد تصمیم بهتر است؟ * الف) با توجه به احتمال آسیب به همسر لازم است پزشک معالج ابتدا بیمار را آگاه کند و سپس به همسرش اطلاع دهد.,null,لازم نیست پرستار موضوع را به پزشک منتقل کند و نمونه‌برداری پروستات به صورت عادی انجام گیرد.,به صورت غیرمستقیم به همسر بیمار می‌فهمانیم که آزمایش بدهد و در صورت نیاز درمان را آغاز کند.,چنانچه بیمار تحت نظر پزشک متخصص عفونی است اقدام خاصی لازم نیست و نمونه‌برداری انجام می‌شود.,
ertegha_1403.jsonl,OBGYN-1403-CAT-277,خانمی ۳۷ ساله است که به دلیل خونریزی گوارشی در بخش داخلی گوارش بستری شده است. در راند آموزشی بعد از معاینه مقعدی توسط استاد و یکی از دانشجویان دختر، بیمار اجازه معاینه توسط سایر دانشجویان پزشکی را نمی‌دهد. بهترین برخورد با وی کدام است؟ * الف) تنها در صورتی مخالفت بیمار قابل قبول است که عدم رضایت به معاینه نقاط حساس بدن را در فرم رضایتنامه کلی که در بدو ورود به بیمارستان آموزشی اخذ می‌شود، اعلام کرده باشد.,null,تنها در صورتی می‌توان بیمار را مجبور به معاینه نمود که طبق تشخیص استاد، مخالفت او باعث اختلال در یادگیری دانشجویان و به هم ریختن نظم بخش شده باشد.,اگر بیمار برای دفعات بعدی رضایت به انجام معاینه توسط دانشجویان را نداشت، اقدامات تشخیصی و درمانی بر اساس امکانات موجود انجام می‌شود.,اگر بیمار راضی به انجام معاینه توسط دانشجویان نشد، موضوع در پرونده وی ثبت شده و به او کمک می‌کنیم تا به یک بیمارستان آموزشی یا غیر آموزشی دیگر منتقل شود.,
ertegha_1403.jsonl,OBGYN-1403-CAT-281,خانم با سن حاملگی ۴۰ هفته به دلیل دردهای زایمانی مراجعه کرده است. در بدو ورود معاینه واژینال: سر جنین در موقعیت سفالیک، کیسه آب پاره، مایع آمنیوتیک شفاف، دیلاتاسیون سرویکس ۳ سانتی‌متر، افاسمان ۶۰٪ می‌باشد. در معاینه یک ساعت بعد دیلاتاسیون سرویکس کمتر از ۱ سانتی‌متر پیشرفت داشته است. انقباضات رحمی مناسب است. اقدام مناسب بعدی کدام است؟ * الف) تحت نظر گرفتن,null,تجویز اکسی‌توسین,انجام سزارین,تجویز مسکن,
ertegha_1403.jsonl,OBGYN-1403-CAT-340,خانم بارداری امروز با کودک مبتلا به آبله مرغان (VZV) تماس داشته است. سابقه ابتلا قبلی را به یاد نمی‌آورد. اقدام مناسب بعدی کدام است؟ - الف) بررسی سرولوژی VZV,null,دریافت ایمونوگلوبولین,تحت نظر گرفتن مادر,شروع درمان با آسیکلوویر,
ertegha_1403.jsonl,OBGYN-1403-CAT-353,دختر خانم ۱۴ ساله و پست منارک با سونوگرافی دال بر کیست تخمدان چند حفره‌ای ۷ سانتی‌متری مراجعه کرده است. علیرغم ۲ ماه مصرف قرص کنتراسپتیو، کیست ثابت باقی مانده است. اقدام بعدی کدام است؟ - الف) جراحی لاپاروسکوپی,null,تکرار سونوگرافی ۳ ماه بعد,بررسی AFP و hCG,سی‌تی اسکن لگن و شکم,
ertegha_1403.jsonl,OBGYN-1403-CAT-444,بیمار ده روز بعد از سزارین سوم با حال عمومی بد، توکسیک و تب مراجعه کرده است. با احتمال پریتونیت شدید بستری شده است. کدامیک از اقدامات تشخیصی زیر ارجح است؟ * الف) سونوگرافی کامل شکم و لگن,null,سی‌تی اسکن شکم و لگن,پاراسنتز شکم,لاپاراسکوپی تشخیصی,
ertegha_1403.jsonl,OBGYN-1403-CAT-472,خانم ۴۰ ساله به علت بدخیمی تخمدان کاندید جراحی هیسترکتومی و سالپنگو اوفورکتومی و staging شده است. حین جراحی یکی از شاخه‌های قدامی شریان ایلیاک داخلی، دچار خونریزی ضربان‌دار شده است. صحیح‌ترین اقدام جهت کنترل خونریزی کدام است؟ الف) بستن لومن شریان با بخیه یا کلیپس,null,تامپون کردن رگ,مشاوره فوری با متخصص جراحی عروق,استفاده از عوامل هموستاتیک,
ertegha_1403.jsonl,OBGYN-1403-CAT-484,سوال: خانمی ۳۵ ساله با بارداری ۳۶ هفته G3L2 و سابقه دو JL سزارین و پلاسنتا اینکرتا بستری شده است. یکی از اقدامات زیر صحیح است؟ - الف) بیهوشی بیمار حتماً آنستزی جنرال باشد.,null,سیستوسکوپی جهت تعبیه کاتتر حالب بعد از هیسترکتومی انجام شود.,محل برش سزارین دورتر از جفت باشد.,قبل از شروع هیسترکتومی نیازی به ترمیم میومتر نمی‌باشد.,
ertegha_1403.jsonl,OBGYN-1403-CAT-508,بیمار خانم ۳۲ ساله باردار با شکایت سردرد و ترشحات پشت حلق و تنفس بدبو از سه روز قبل مراجعه کرده است. سابقه بیماری خاصی ندارد. درمان مناسب چیست؟ - الف) سودوافدرین,null,آنتی‌هیستامین,آموکسی‌سیلین,نووفلوکساسین,
ertegha_1403.jsonl,OBGYN-1403-CAT-509,کدام عصب در معاینه پرینه نرمال، احتمال آسیب دارد؟ * عصب اوبتوراتور * پودندال * عصب فمورال * سوپریور گلوتئال,null,null,null,null,
ertegha_1403.jsonl,OBGYN-1403-CAT-528,هنگام سیستوسکوپی در حین جراحی اسلینگ مید یورترا به روش رتروپوبیک (TVT) متوجه عبور تروکار از داخل مثانه می‌شویم. اقدام بعدی کدام است؟ الف) جاگذاری مجدد تروکار و ترمیم محل پارگی مثانه,null,کنسل کردن جراحی و ترمیم محل پارگی مثانه,جاگذاری مجدد تروکار و نگه داشتن سوند به مدت یک هفته,کنسل کردن جراحی TVT و نگه داشتن سوند به مدت ۲ هفته,
ertegha_1403.jsonl,OBGYN-1403-CAT-651,شما به عنوان پزشک مسئول اورژانس، با یک بیمار مولتی ترومای غیرهوشیار به دنبال تصادف شدید رانندگی مواجه هستید. بیمار به سوالات شما پاسخ نمی‌دهد اما خانواده او حضور دارند و بیمار نیاز به مداخله فوری دارد. اولین چالش اخلاقی که تیم ترومای ممکن است در ارائه مراقبت از بیمار مولتی ترومای غیرهوشیار در اورژانس با آن مواجه شود، کدام است؟ * الف) برقراری ارتباط مؤثر با خانواده بیمار و کسب رضایت آگاهانه از نزدیکان بیمار,null,اولویت‌بندی و انجام اقدامات درمانی بر اساس شدت آسیب,تعیین خواسته‌ها و ترجیحات بیمار برای درمان,اطمینان از رازداری و حریم خصوصی بیمار,
ertegha_1403.jsonl,OBGYN-1403-CAT-652,بیماری در وضعیت بحرانی و تحت حمایت حیاتی قرار دارد. پیش‌آگهی بیمار بسیار ضعیف است. خانواده بیمار درخواست می‌کنند که درمان‌های نگهدارنده حیات ادامه یابد، در حالی که تیم پزشکی معتقد است درمان بیشتر تنها باعث طولانی شدن رنج بیمار می‌شود و وضعیت بیمار را به میزان قابل توجهی بهبود نمی‌بخشد. به عنوان مراقب اصلی سلامتی بیمار، شما با این دوراهی اخلاقی مواجه هستید که آیا باید به خواسته‌های خانواده احترام بگذارید یا از توصیه‌های پزشکی پیروی کنید. کدام یک از اقدامات زیر در این شرایط مناسب‌تر است؟ * الف) بدون توجه به اندیکاسیون بالینی، خواسته‌های خانواده را بپذیرید.,null,خواسته خانواده را نادیده بگیرید و به توصیه تیم پزشکی تمرکز کنید.,با دستیابی به توافق، با خانواده و همکاران بالینی و بیمارستان جلسه مشترک ترتیب دهید.,بیمار را بدون گفتگو با خانواده به بخش دیگری منتقل کنید.,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-001,کدام یک از داروهای زیر را تا زمان عمل جراحی می‌توان ادامه داد؟,دیگوکسین,دیورتیک‌ها,کلوپیدوگرل,وارفارین,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-002,کدام یک از برش‌های عرضی شکم از نظر زیبایی و امنیت زخم و ترمیم، گزینه مناسب‌تری در جراحی‌های تحتانی شکم است؟,Kustner,Pfannenstiel,Maylard,Cherney,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-003,کدام شریان بین دو عضله internal oblique و transversus abdominis قرار دارد؟,Deep circumflex iliac,Inferior epigastric,Superficial epigastric,Superior epigastric,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-004,"خانم ۲۷ ساله‌ای با شکایت درد شکم ناگهانی، در معاینه علائم تحریک پریتوئن دارد. در سونوگرافی، آسیت و Rokitansky nodule و الگوی ""dash-dot"" رویت شده است. در CT scan کلسیفیکاسیون داخل توده تخمدانی رویت شد. محتمل‌ترین تشخیص کدام است؟",Yolk sac tumor,Dysgerminoma,Mature teratoma,Ovarian lymphoma,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-005,خانم ۳۵ ساله تحت جراحی لاپاراتومی اندومتریوز پیشرفته لگن قرار گرفته است. بعد از عمل بیمار اختلال در خم کردن ران و باز کردن زانو دارد. از دشواری در بلند شدن از حالت نشسته، بیرون آمدن از رختخواب یا بالا رفتن از پله‌ها شاکی است. در معاینه پارستزی در قسمت قدامی ران و فقدان رفلکس کشکک دارد. آسیب کدام عصب مطرح است؟,Femoral,Obturator,Common peroneal,Pudendal,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-006,برای گرفتن بافت‌های ظریف و عروق، کدام یک از فورسپس‌های زیر به کار می‌رود؟,Adson,De Bakey,Russian,Ring,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-007,خانم ۴۵ ساله متعاقب هیسترکتومی ابدومینال، ۶ ساعت بعد از عمل حجم ادرار 20cc در ساعت بوده است. حین عمل حجم خونریزی بیشتر از انتظار بوده است و برای بیمار جایگزینی با مایعات انجام شد. هموگلوبین بیمار ۴ ساعت بعد از عمل یک و نیم واحد افت داشته است. کراتینین ادرار و سرم اندازه‌گیری شد. FENa = 3.5% (کسر ترشح سدیم) است. اولین اقدام چیست؟,تعویض کاتتر فولیس,ترانسفوزیون خون و جایگزینی بیشتر مایعات,قطع NSAID,اندازه‌گیری سطح سدیم ادرار,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-008,"خانم ۳۶ ساله با سابقه میوم و اندومتریوز و درد لگنی تحت جراحی هیسترکتومی و اوفورکتومی دوطرفه قرار گرفته و تحت درمان HRT می‌باشد. یک سال بعد از عمل با توده ۳ سانتی‌متر در کف لگن مراجعه می‌کند. FSH = 16, E2 = 45, CA125 = 16 می‌باشد. اولین اقدام کدام است؟",قطع HRT سپس تکرار FSH و E2,لاپاراتومی مجدد جهت برداشتن توده,درمان با دینوجست,لاپاراسکوپی جهت برداشتن توده,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-009,خانم ۶۵ ساله به دلیل وجود ضایعه‌ای در ولو مراجعه کرده است. در معاینه در لبیا ماژور سمت چپ یک توده به ابعاد حدود یک و نیم سانتی‌متر و تیره رنگ که قسمتی از آن اولسراتیو بوده و احتمال ملانوم مطرح می‌باشد. بهترین روش تشخیصی کدام یک از موارد زیر است؟ (صفحه ۲ از ۲۰),Excisional Biopsy,Punch Biopsy,Shave Biopsy,Needle Biopsy,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-010,خانم ۷۵ ساله به دلیل کانسر اندومتر کاندید هیسترکتومی می‌باشد. در سابقه، دیابت و فشارخون را ذکر می‌کند. هموگلوبین فعلی ۱۱.۵ گرم در دسی‌لیتر است. بیمار اظهار می‌دارد که در جراحی قبلی امکان دریافت خون به دلیل وجود آنتی‌بادی گلبول قرمز را نداشته است. کدام یک از موارد زیر مانع از تزریق خون اتولوگ می‌شود؟,ابتلا به فشارخون,سن بیمار,ابتلا به دیابت,میزان هموگلوبین بیمار,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-011,بیماری حین انجام میومکتومی با هیستروسکوپ، دچار خونریزی شدید واژینال شده است. لاپاراسکوپی انجام شده و پارگی رحم رد شده است. اولین اقدام کدام است؟,Intracervical vasopressin,Intrauterine Foley catheter,Uterine artery embolization,Hysterectomy,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-012,خانم ۴۷ ساله مولتی پار با BMI = 28 به علت خونریزی غیرطبیعی و درد مزمن لگنی مراجعه کرده است. در معاینه ولو، واژن و سرویکس نرمال و رحم حدود ۱۶ هفته و فیکس است. در معاینه آدنکس‌ها قابل ارزیابی نیست. برای بررسی وضعیت حالب و آدنکس‌ها کدام یک از اقدامات زیر پیش از عمل مناسب‌تر است؟,CT scan,سونوگرافی آبدومینال + واژینال,MRI,سیستوسکوپی و تعبیه stent حالب,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-013,خانم ۵۰ ساله که یک هفته قبل هیسترکتومی واژینال شده با درد شدید لگن و تب مراجعه کرده و در معاینه واژینال توده‌ای در بالای کاف واژن لمس می‌شود. با تشخیص بالینی سلولیت کاف واژن تحت درمان با آنتی‌بیوتیک تزریقی قرار گرفته است. در سونوگرافی انجام شده هماتوم ۶×۶ سانتی‌متر بالای کاف واژن گزارش شده است. در آزمایشات افت هموگلوبین 1g/dL دارد. اقدام مناسب کدام است؟,آمبولیزاسیون,درناژ,لاپاراتومی,ارزیابی مجدد بعد از ۴۸ ساعت,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-014,بیماری ۴۰ ساله با ظاهر غیرطبیعی دهانه رحم که کولپوسکوپی شده است. کولپوسکوپی رضایت‌بخش نبوده است. بیوپسی سرویکس و کورتاژ اندوسرویکال CIN II بوده است. بهترین اقدام درمانی کدام است؟,لیزر ابلیشن,ترمال ابلیشن,کونیزاسیون با cold knife,کرایوتراپی,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-015,بیمار ۵۶ ساله‌ای با ضایعه لبیا مینور راست مراجعه کرده است. در معاینه سایز ۱.۵ سانتی‌متر دارد، در بیوپسی SCC با عمق تهاجم کمتر از ۱ میلی‌متر و درگیری فضای لنفو عروقی گزارش شده است. در معاینه و تصویربرداری درگیری لنف نود ندارد. روش درمانی مناسب چیست؟,وولوکتومی کامل + لنفادنکتومی,برداشت موضعی وسیع + لنفادنکتومی,وولوکتومی کامل,کموتراپی و سپس وولوکتومی,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-016,خانم ۴۳ ساله G2P2 با سابقه دو بار سزارین به علت AUB تحت D&C قرار گرفته و با جواب پاتولوژی EIN/CAH (هایپرپلازی آتیپیک آندومتر) ارجاع شده است. اقدام مناسب کدام است؟ (صفحه ۳ از ۲۰),توتال هیسترکتومی,درمان با پروژسترون خوراکی,تعبیه IUD پروژسترونی,سوپراسرویکال هیسترکتومی,
